"station","lon","lat","mes_nme","base"
"San Jeronimo",-90.249465,15.061376,"Ene",27.1464516129032
"Alameda Icta",-90.803798,14.637148,"Ene",22.7758064516129
"Chixoy",-90.662131,15.35821,"Ene",29.485376344086
"Cubulco",-90.620582,15.109023,"Ene",28.5490322580645
"INSIVUMEH",-90.532679,14.587267,"Ene",24.2870967741935
"Los Esclavos",-90.2783,14.2528,"Ene",31.9908602150538
"Sacapulas",-91.092058,15.290429,"Ene",29.1910752688172
"San Martin Jilotepeque",-90.792558,14.777474,"Ene",22.6538709677419
"Santa Cruz Balanya",-90.918504,14.683227,"Ene",21.4810752688172
"Santiago Atitlan",-91.232526,14.630858,"Ene",25.1541935483871
"Suiza Contenta",-90.659128,14.618572,"Ene",21.4463440860215
"Chinique",-91.019608,15.04675,"Ene",22.2198924731183
"Catarina",-92.0772222,14.8555556,"Ene",33.47
"Retalhuleu",-91.69407,14.52486,"Ene",34.2521505376344
"Sabana Grande",-90.830533,14.373773,"Ene",30.5122580645161
"Las Vegas",-88.944686,15.585416,"Ene",29.537311827957
"Puerto Barrios",-88.584395,15.730161,"Ene",27.615376344086
"Santa Maria Cahabon",-89.8105556,15.6083333,"Ene",29.9309677419355
"Coban",-90.405518,15.46992,"Ene",22.2406451612903
"Panzos",-89.6439,15.3972,"Ene",30.6330107526882
"Nebaj",-91.142084,15.399247,"Ene",21.0551612903226
"Flores",-89.86686,16.916093,"Ene",28.9651612903226
"Huehuetenango",-91.502403,15.31828,"Ene",24.8744086021505
"Labor Ovalle",-91.514438,14.871334,"Ene",21.9335483870968
"San Marcos",-91.82333,14.96715,"Ene",20.0975268817204
"San Pedro Necta",-91.76247,15.49467,"Ene",23.5504301075269
"Todos Santos",-91.6003111,15.5080222,"Ene",17.1650537634409
"Puerto San Jose",-90.835264,13.936665,"Ene",32.7476344086022
"Montufar",-90.15446,13.80853,"Ene",34.3008602150538
"Camotan",-89.3727778,14.8205556,"Ene",30.2102150537634
"Esquipulas",-89.341459,14.559694,"Ene",25.0935483870968
"Potrero Carrillo",-89.930747,14.759709,"Ene",20.281935483871
"La Ceibita",-89.878944,14.494509,"Ene",28.3112903225806
"La Fragua",-89.58437,14.96553,"Ene",32.0831182795699
"La Union",-89.2911111,14.9633333,"Ene",23.6022580645161
"Pasabien",-89.68,15.03,"Ene",31.4715053763441
"Asuncion Mita",-89.705892,14.335447,"Ene",32.6636559139785
"Quesada",-90.036177,14.232852,"Ene",29.4998924731183
"Cuilco",-91.953,15.406,"Ene",30.7058064516129
"1",-90.7291666666667,16.9375,"Ene",28.258
"10",-90.4375,17.7708333333333,"Ene",28.4825
"11",-89.1875,15.6875,"Ene",25.53425
"12",-91.2708333333333,15.4375,"Ene",15.85125
"13",-91.8541666666667,15.7708333333333,"Ene",30.13125
"14",-90.9375,15.0208333333333,"Ene",22.931
"15",-89.6458333333333,16.9375,"Ene",27.0175
"16",-91.0625,15.7708333333333,"Ene",28.81225
"17",-89.9791666666667,15.5208333333333,"Ene",26.64425
"18",-89.8958333333333,17.0625,"Ene",27.22625
"19",-91.3958333333333,14.6458333333333,"Ene",28.916
"2",-89.8958333333333,14.8958333333333,"Ene",29.94125
"20",-90.2291666666667,15.4791666666667,"Ene",22.761
"21",-91.0208333333333,15.7708333333333,"Ene",29.491
"22",-89.1875,15.4791666666667,"Ene",29.148
"23",-89.3125,16.5208333333333,"Ene",25.135
"24",-91.1041666666667,16.9791666666667,"Ene",28.1415
"25",-91.7708333333333,14.2708333333333,"Ene",35.1285
"26",-89.2291666666667,17.0625,"Ene",26.58675
"27",-90.6041666666667,14.4791666666667,"Ene",26.036
"28",-90.8958333333333,17.6458333333333,"Ene",28.849
"29",-90.4791666666667,17.2708333333333,"Ene",28.64825
"3",-89.9375,15.2708333333333,"Ene",28.38575
"30",-89.9375,14.1041666666667,"Ene",28.404
"31",-90.3541666666667,17.1875,"Ene",28.512
"32",-89.6458333333333,16.6458333333333,"Ene",26.77075
"33",-91.2291666666667,14.8958333333333,"Ene",16.7815
"34",-90.0208333333333,16.2708333333333,"Ene",28.064
"35",-92.0625,15.5208333333333,"Ene",23.807
"36",-90.5625,17.7291666666667,"Ene",28.68275
"37",-90.8541666666667,14.3125,"Ene",31.2045
"38",-91.6458333333333,15.6875,"Ene",21.6365
"39",-90.9375,17.1875,"Ene",27.52675
"4",-89.7291666666667,17.6041666666667,"Ene",26.59125
"40",-91.6458333333333,14.6875,"Ene",28.28425
"41",-90.5625,14.1458333333333,"Ene",30.749
"42",-90.5625,15.3958333333333,"Ene",21.18225
"43",-89.9375,16.7708333333333,"Ene",27.2775
"44",-90.6875,15.6875,"Ene",28.34525
"45",-90.1458333333333,14.5208333333333,"Ene",18.3215
"46",-89.6458333333333,17.5208333333333,"Ene",26.60425
"47",-90.8541666666667,17.7708333333333,"Ene",28.75725
"48",-90.0625,16.1458333333333,"Ene",28.3765
"49",-89.3125,16.2708333333333,"Ene",24.99375
"5",-90.2708333333333,15.4375,"Ene",21.69875
"50",-89.9375,14.2708333333333,"Ene",28.96425
"6",-90.3541666666667,16.8125,"Ene",27.90375
"7",-89.7291666666667,16.1041666666667,"Ene",27.401
"8",-90.7291666666667,15.2708333333333,"Ene",20.75975
"9",-90.8125,15.8541666666667,"Ene",30.02
